,Tweet ID,User,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Date
0,1007344925145354240,BBC,"We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. 

Kate",0.5719,0.163,0.837,0.0,1,Thu Jun 14 19:32:00 +0000 2018
1,1007337658622840832,BBC,Anne Robinson meets women from across the UK to find out ,-0.0258,0.0,0.948,0.052,2,Thu Jun 14 19:03:07 +0000 2018
2,1007321878061514752,BBC,"'I'm glad you're in my life.'

",0.4588,0.167,0.833,0.0,3,Thu Jun 14 18:00:25 +0000 2018
3,1007291662786289664,BBC,  If you haven't seen @AlanDavies1's shark impression,0.2263,0.137,0.863,0.0,4,Thu Jun 14 16:00:21 +0000 2018
4,1007279840926601217,BBC, Hundreds of people have taken part in a silent procession in honour of the 72 people killed in the Grenfell Tower,-0.2023,0.136,0.699,0.165,5,Thu Jun 14 15:13:23 +0000 2018
5,1007248969070718977,BBC,"RT @bbcthree: This is what painful sex feels like. #HearHer 

",-0.0258,0.203,0.642,0.155,6,Thu Jun 14 13:10:42 +0000 2018
6,1007246554988711937,BBC,We gave him some food so hopefully he'll be back,0.541,0.155,0.845,0.0,7,Thu Jun 14 13:01:07 +0000 2018
7,1007237319500451840,BBC, There's no official England #WorldCup song so we're backing our friends at @CBeebiesHQ who want to make this th,0.3774,0.231,0.681,0.088,8,Thu Jun 14 12:24:25 +0000 2018
8,1007234068503842816,BBC,RT @BBCNews: Grenfell Tower,-0.34,0.0,0.902,0.098,9,Thu Jun 14 12:11:30 +0000 2018
9,1007231448607322112,BBC, From stray dog to downward facing dog.... Amaloh is one lucky pooch! https://t.co/980DE0YdmS,0.4753,0.192,0.808,0.0,10,Thu Jun 14 12:01:05 +0000 2018
10,1007216150240022530,BBC, 'Love is evil ,0.6124,0.264,0.597,0.138,11,Thu Jun 14 11:00:18 +0000 2018
11,1007171039825219584,BBC, These Belgian students are revising for exams with monks at a monastery.  https://t.co/JKkUt9hSuA,0.0,0.0,1.0,0.0,12,Thu Jun 14 08:01:02 +0000 2018
12,1007162489593827328,BBC,"How our teenage years shape our personality. 
",0.0,0.0,1.0,0.0,13,Thu Jun 14 07:27:04 +0000 2018
13,1007155941500911616,BBC,Could one 'super bacteria,0.8074,0.48,0.52,0.0,14,Thu Jun 14 07:01:03 +0000 2018
